n_actual_halos,mag_h1,mag_h2,mag_h3,mag_h4
1,48.518241957315318,33.271875282159975,28.846484313387592,16.276486133638247,20.554250764724848
1,50.167732227127168,14.327783645028232,14.908579176084578,15.675372766478796,14.434638838737763
1,140.30976963618127,24.766438082028142,21.520128722503227,21.711152397803158,15.873626708266338
1,58.686551082793486,28.173993317854741,19.164745437864358,15.200161658431604,14.047762669278672
1,128.09436631508305,27.613094281899762,26.18035432237286,21.468552611903657,18.910158453379491
1,134.09896702031187,27.584704005154016,17.584607934258731,12.226788263454887,19.092278829518367
1,42.533467612221379,26.405505866766184,25.877732499350195,17.468498463648263,21.542106719303646
1,132.62070777338849,30.627408082520901,23.870810144517897,16.061236757776793,17.026809490612592
1,62.177344394344153,34.928916094401515,22.699333484965393,19.329435737914036,15.839839303920538
1,63.098102833985799,23.442169872208947,22.544438110028604,18.269398653469413,11.8593447398612
1,108.5980364666343,45.020219765831747,20.53106266152135,19.839425533271598,14.957645793124609
1,70.844246192866876,26.179580912622143,10.843854337469493,14.859286485570212,9.298473120912357
1,134.13708847917852,23.635736764732592,19.331848167435375,24.52185033863401,22.849363990220347
1,47.735754865143747,25.599823896598945,33.027499412548458,15.450941877499279,14.32853710646352
1,145.15229853604677,28.313345986743911,22.678683530842999,20.341662236438072,15.143905159606531
1,83.213249412908482,35.890950143021414,43.448711740664145,32.715758798726675,26.044370284517772
1,32.819971998004455,22.062151513778939,15.735297308156939,15.288052422450633,8.1509214587151888
1,35.346799271484912,26.064263728483944,20.078151555653498,13.231692753952276,11.910863767615748
1,86.329047186385409,32.412909938049836,15.839823565651518,22.619394506489293,20.496570052209435
1,34.59091614961806,34.562668763869787,14.974182540125446,19.088367422932247,20.560116854483859
1,84.302049696231009,31.720466243826561,41.46699364232726,33.520522907760231,20.509796736202212
1,106.83396735335155,36.852973436648661,28.266300274198599,14.379565257362971,14.429391582310769
1,138.39427265971304,40.284482138699786,29.069836304959502,19.550217064672147,21.825817524050219
1,78.282757604943711,40.256384641851938,36.853257105007415,42.072454597454303,17.872568400308225
1,143.48796809534807,36.099128585609165,20.25270075501879,15.735361891341675,15.587951933045828
1,57.219317910415562,28.042382682732221,12.268230905810931,11.963324465204073,12.262711708790432
1,98.212261776299854,33.462556726486604,17.554670887893181,16.870645316859235,10.751904291798839
1,77.060483141902807,29.336765941938957,27.221275756438111,28.34518956026454,15.141941047907229
1,110.28076439681669,35.473507103774587,27.08248450299412,26.552500146681805,20.139554157873334
1,111.56287990753702,28.943547938951895,23.620316527499078,26.458180178183227,16.494443528792264
1,28.027817828095017,92.183861180431734,53.750076535837174,37.239098748186628,41.895341757662273
1,97.664772891614447,26.882263474851595,21.617418125774385,20.188580848224504,14.357055370386412
1,92.911896521216605,34.352863493454286,24.622834988590867,38.666249221420159,29.194019554828028
1,80.024960155657439,28.083732240028478,25.414403625332991,13.208080498707412,20.198146083206549
1,97.348255417249177,32.642183116895907,35.43118156146403,25.05764370279265,25.865203688156203
1,81.010521125496766,21.267177606080839,27.630413007953248,23.534861012058801,19.173014097156528
1,107.33282068570108,38.233228669197203,33.942922719399434,29.136763453720498,19.063690268871341
1,128.63614701119789,22.897335362501721,14.755538321089015,18.016733849087867,22.842763742047964
1,44.603172046505037,39.05915411073898,22.743808974898776,20.529444768341822,25.071890370203821
1,80.559761707173564,55.766790929033426,31.748451721943244,27.818405433558656,30.084460257421487
1,103.25805359781764,34.000114745423247,14.182619714254809,18.666758799237062,15.084021342956197
1,33.514516512421544,30.18808775783917,15.502622114004442,16.82885063322902,21.164462518731849
1,176.27276914629931,35.091210004120271,21.456254146013816,28.157287084071374,21.456021565521002
1,89.351099477349024,20.965548660982552,25.96685421456068,18.446787888706744,16.640101988137783
1,37.31908842496771,49.645268233933891,50.903566605823158,26.050956272932797,30.451721279373242
1,109.37981971312958,29.450138705579526,31.673367918363155,18.485248534514401,20.587587602460999
1,152.88705125216393,36.045000184048625,26.178761571785746,22.825113208360641,25.014176311880266
1,42.994400871451568,36.203623666799423,36.772247906978919,23.565946625408792,22.524740643452365
1,105.57068741883793,26.503074955794897,26.087757221332833,14.440185921329205,13.781120130614289
1,88.488848795168309,24.344759072037508,15.364798222398973,12.065802877732603,8.8386781299858033
1,188.34327105146446,35.597923452187231,48.442784323578216,31.939519174052979,17.88180024237057
1,66.755948467443346,23.090768247790386,18.253925629005554,15.844480213096274,12.178061124797235
1,74.223038989812679,20.415617150919893,14.513785289444328,16.327347685955619,13.541112837686265
1,70.789466292819242,25.353308026287166,27.363639770848803,20.233501603124168,14.603498825425024
1,87.993235036257062,37.301402730625405,18.735572030828322,30.959643840292735,23.054631869393916
1,73.189330471519369,28.554190152244864,30.912389439750779,25.889414607380374,14.54212184370429
1,74.156604571315782,48.570861949557397,18.51501904654998,13.14031331481125,9.5440746476828497
1,83.407768565204492,22.809860532351657,9.2730325528670932,10.373880558338854,14.390542182666932
1,88.018158037832166,28.364857174348817,33.442324921741552,34.267832891655864,31.762567892308727
1,67.289545133578144,20.867958925718042,12.430466514783907,13.048042495681267,13.853686538327636
1,127.93466287398705,26.777677700144736,29.80958477223048,16.46234075730375,17.370730823602472
1,95.51207509140616,34.3680497503466,24.979363543157181,23.026189808950189,18.264976687493952
1,99.542785220499297,25.065740411195424,20.315435732349808,23.849399736429977,14.044988593026082
1,143.27233486595583,25.759524371250563,24.252564686698051,20.873476707642066,23.080908518978308
1,63.392717381415231,28.146857849783025,30.472103968322905,21.681632830711784,22.077661477033473
1,62.672739347121606,24.640927137642251,19.179281974237647,12.785124621439179,14.359610358373132
1,78.443882223990641,22.83741379071472,22.049471328125389,13.389030889380853,11.444212946892176
1,105.96224752208597,31.269275583908694,18.684382057599166,12.128680824639984,16.028732020676603
1,30.703344520986391,23.49799263899331,21.266125220666002,17.33916611686006,17.233799029918401
1,115.39380100658269,26.714285147553497,23.698270366104239,19.169001377149097,25.166928693417297
1,131.26111799404276,40.424966164470504,26.603814380243605,23.719508675687152,18.204112043055073
1,68.503535350221441,35.561270466418378,31.946814019821879,18.065777849397026,15.833433811992949
1,127.81192103092769,34.098132952202512,26.258068369105295,25.880049944063447,16.371217816142668
1,99.412411432318578,38.490811614674058,23.722899384985887,22.662534389229741,18.36823080449906
1,37.794493553812053,47.961434391735501,27.147843990754136,28.043665796598042,29.912642418905758
